,P o p u l a s i [ 5 3 ] [ 5 4 ],P o p u l a s i [ 5 3 ] [ 5 4 ],P o p u l a s i [ 5 3 ] [ 5 4 ],P o p u l a s i [ 5 3 ] [ 5 4 ]
0,1950,1.3,,
1,2000,5.0,,
2,2018,6.5,,
