,J a b a t a n,N a m a
0,"Menteri Luar Negeri, Persemakmuran, dan Pembangunan",James Cleverly MP
1,Menteri Negara untuk Pembangunan,Vicky Ford MP
2,Menteri Negara untuk Eropa,Leo Docherty MP
3,Menteri Negara untuk Amerika dan Wilayah-Wilayah Seberang Laut,Jesse Norman MP
4,"Menteri Negara untuk Timur Tengah, Asia Selatan, dan Perserikatan Bangsa-Bangsa",The Lord Ahmad of Wimbledon
5,"Menteri Negara untuk Asia, Energi, Iklim, dan Lingkungan Hidup",The Lord Goldsmith of Richmond Park PC
6,Wakil Menteri Parlementer untuk Afrika,Gillian Keegan MP
