,T a h u n,T e m a,T e m a
0,2012,Working Together to make Rabies History,Bekerja sama untuk membuat rabies menjadi sejarah
1,2013,Rabies: Understand it to defeat it,Rabies: Pahami untuk mengalahkannya
2,2014,Together Against Rabies,Bersama melawan rabies
3,2015,End Rabies Together,Akhiri rabies bersama
4,2016,Rabies: Educate. Vaccinate. Eliminate,Rabies: Edukasi. Vaksinasi. Eliminasi
5,2017,Rabies: Zero by 30,Rabies: Nol saat 30
6,2018,Rabies: Share the message. Save a life,Rabies: Bagikan pesannya. Selamatkan hidup
7,2019,Rabies: Vaccinate to Eliminate,Rabies: Vaksinasi untuk eliminasi
8,2020,"End Rabies: Collaborate, Vaccinate[10]","Kolaborasi Berkualitas, Vaksinasi Tuntas, Rabies Bebas![11]"
9,2021,"Rabies: Facts, not Fear[12]","Rabies: Fakta, bukan ketakutan"
10,2022,"Rabies: One Health, Zero Death[13]",
