,N a m a   r e g i o n   d a n   t e r r i t o r a l   d e n g a n   b e n d e r a,L u a s ( k m ² ),P o p u l a s i ( p e r k i r a a n   1   J u l i   2 0 0 8 ),K e p a d a t a n   P e n d u d u k ( p e r   k m ² ),I b u   k o t a
0,Amerika Utara,Amerika Utara,Amerika Utara,Amerika Utara,Amerika Utara
1,Bermuda (Britania Raya),,,1203.7,Hamilton
2,Kanada,,,3.4,Ottawa
3,Greenland (Denmark),,,0.026,Nuuk
4,Meksiko,,,57.1,Mexico City
5,Saint Pierre dan Miquelon (Prancis),,,24.8,Saint-Pierre
6,Amerika Serikat[1],,,32.7,"Washington, D.C."
7,Karibia,Karibia,Karibia,Karibia,Karibia
8,Anguilla (Britania Raya),,,164.8,The Valley
9,Antigua dan Barbuda,,,199.1,St. John's
10,Aruba (Belanda),,,594.4,Oranjestad
11,Bahamas,,,24.5,Nassau
12,Barbados,,,595.3,Bridgetown
13,Bonaire (Belanda),,[2],41.1,Kralendijk
14,Kepulauan Virgin Britania Raya (Britania Raya),,,152.3,Road Town
15,Kepulauan Cayman (Britania Raya),,,212.1,George Town
16,Kuba,,,102.0,Havana
17,Curaçao (Belanda),,[2],317.1,Willemstad
18,Dominika,,,89.2,Roseau
19,Republik Dominika,,,207.3,Santo Domingo
20,Grenada,,,302.3,St. George's
21,Guadeloupe (Prancis),,[3],246.7,Basse-Terre
22,Haiti,,,361.5,Port-au-Prince
23,Jamaika,,,247.4,Kingston
24,Martinik (Prancis),,[3],352.6,Fort-de-France
25,Montserrat (Britania Raya),,,58.8,Plymouth; Brades[4]
26,Puerto Riko (Amerika Serikat),,,448.9,San Juan
27,Saba (Neth.),,[2],118.2,The Bottom
28,Saint Barthélemy (Prancis),[5],[6],354.7,Gustavia
29,Saint Kitts dan Nevis,,,199.2,Basseterre
30,Saint Lucia,,,319.1,Castries
31,Saint Martin (Fr.),[5],[6],552.2,Marigot
32,Saint Vincent dan Grenadines,,,280.2,Kingstown
33,Sint Eustatius (Belanda),,[2],130.4,Oranjestad
34,Sint Maarten (Belanda),,[2],1176.7,Philipsburg
35,Trinidad dan Tobago[7],,,261.0,Port of Spain
36,Kepulauan Turks dan Caicos (Britania Raya),,,34.8,Cockburn Town
37,Kepulauan Virgin Amerika Serikat (Amerika Serikat),,,317.0,Charlotte Amalie
38,Amerika Tengah,Amerika Tengah,Amerika Tengah,Amerika Tengah,Amerika Tengah
39,Belize,,,13.4,Belmopan
40,Kosta Rika,,,89.6,San José
41,El Salvador,,,293.0,San Salvador
42,Guatemala,,,128.8,Guatemala City
43,Honduras,,,66.4,Tegucigalpa
44,Nikaragua,,,44.1,Managua
45,Panama[7][8],,,45.8,Panama City
46,Total,,,22.9,
