,0,1
0,Utara,Kecamatan Kemang (Kabupaten Bogor) dan Kecamatan Bojong Gede (Kabupaten Bogor)
1,Timur,Kecamatan Sukaraja (Kabupaten Bogor) dan Kecamatan Ciawi (Kabupaten Bogor)
2,Selatan,"Kecamatan Cijeruk (Kabupaten Bogor), Kecamatan Caringin (Kabupaten Bogor) dan Kecamatan Tamansari (Kabupaten Bogor)"
3,Barat,Kecamatan Dramaga (Kabupaten Bogor) dan Kecamatan Ciomas (Kabupaten Bogor)
