,J a b a t a n   p o l i t i k,J a b a t a n   p o l i t i k . 1,J a b a t a n   p o l i t i k . 2
0,Didahului oleh:Sergei Stanishev,Perdana Menteri Bulgaria2009–2013,Diteruskan oleh:Marin RaykovPelaksana tugas
1,Didahului oleh:Georgi BliznashkiPelaksana tugas,Perdana Menteri Bulgaria2014-2017,Diteruskan oleh:Ognyan GerdzhikovPelaksana tugas
2,Didahului oleh:Ognyan GerdzhikovPelaksana tugas,Perdana Menteri Bulgaria2017-2021,Diteruskan oleh:Stefan YanevPelaksana tugas
