,T a h u n,2 0 0 5,2 0 1 0,2 0 1 5,2 0 1 6,2 0 1 7,2 0 1 8,2 0 1 9,2 0 2 0
0,Jumlah orang (juta) kekurangan gizi (global)[2],8107,6368,6151,6196,6150,6334,6503,7680
1,Persentase orang kekurangan gizi (global)[2],"12,4%","9,2%","8,3%","8,3%","8,1%","8,3%","8,4%","9,9%"
