,B a h a s a   M e l a y u   K u n o,B a h a s a   M e l a y u   M o d e r n
0,wulan,bulan
1,nasyik,asyik
2,nayik,naik
3,mangalap,mengambil
4,mamava,membawa
5,saribu,seribu
6,dangan,dengan
7,vanakna,banyaknya
8,sukhacitta,sukacita
9,ko,ke
10,samvau,sampan
11,datam,datang
12,vari,bari = berisekarang
13,rajaputra,putra raja
14,vatu,batu
15,tawad,"tabat (tebat, kolam)"
16,vala,bala (tentara)
17,rumwiya,rumbia
18,haur,aur
19,wuluh,buluh
20,pattung,betung (bambu)
21,niyur,nyiur
