,J a b a t a n   p o l i t i k,J a b a t a n   p o l i t i k . 1,J a b a t a n   p o l i t i k . 2
0,Didahului oleh:Kevin Rudd,Perdana Menteri Australia2010–2013,Diteruskan oleh:Kevin Rudd
1,Didahului oleh:Mark Vaile,Deputi Perdana Menteri Australia2007-2010,Diteruskan oleh:Wayne Swan
2,Didahului oleh:Julie Bishop,Menteri Pendidikan2007-sekarang,Diteruskan oleh:Sedang Menjabat
3,Jabatan partai politik,Jabatan partai politik,Jabatan partai politik
4,Didahului oleh:Kevin Rudd,Pemimpin Partai Buruh2010–2013,Diteruskan oleh:Kevin Rudd
5,Didahului oleh:Jenny Macklin,Deputi Partai Buruh2006-2010,Diteruskan oleh:Wayne Swan
