,0,1,2,3,4,5,6,7,8,9,1 0,1 1,1 2,1 3,1 4
0,,∅,k,s,t,n,f,m,y,r,w,g,z,d,b
1,a,阿安英足,可何加架香蚊迦,左佐沙作者柴紗草散,太多他丹駄田手立,那男奈南寧難七名魚菜,八方芳房半伴倍泊波婆破薄播幡羽早者速葉歯,万末馬麻摩磨満前真間鬼,也移夜楊耶野八矢屋,良浪郎楽羅等,和丸輪,我何賀,社射謝耶奢装蔵,陀太大嚢,伐婆磨魔
2,i1,伊怡以異已移射五,支伎岐企棄寸吉杵來,子之芝水四司詞斯志思信偲寺侍時歌詩師紫新旨指次此死事准磯為,知智陳千乳血茅,二人日仁爾迩尼耳柔丹荷似煮煎,比必卑賓日氷飯負嬪臂避臂匱,民彌美三水見視御,,里理利梨隣入煎,位為謂井猪藍,伎祇芸岐儀蟻,自士仕司時尽慈耳餌児弐爾,遅治地恥尼泥,婢鼻弥
3,i2,伊怡以異已移射五,貴紀記奇寄忌幾木城,子之芝水四司詞斯志思信偲寺侍時歌詩師紫新旨指次此死事准磯為,知智陳千乳血茅,二人日仁爾迩尼耳柔丹荷似煮煎,非悲斐火肥飛樋干乾彼被秘,未味尾微身実箕,,里理利梨隣入煎,位為謂井猪藍,疑宜義擬,自士仕司時尽慈耳餌児弐爾,遅治地恥尼泥,備肥飛乾眉媚
4,u,宇羽于有卯烏得,久九口丘苦鳩来,寸須周酒州洲珠数酢栖渚,都豆通追川津,奴努怒農濃沼宿,不否布負部敷経歴,牟武無模務謀六,由喩遊湯,留流類,,具遇隅求愚虞,受授殊儒,豆頭弩,夫扶府文柔歩部
5,e1,衣依愛榎,祁家計係價結鶏,世西斉勢施背脊迫瀬,堤天帝底手代直,禰尼泥年根宿,平反返弁弊陛遍覇部辺重隔,売馬面女,曳延要遥叡兄江吉枝,礼列例烈連,廻恵面咲,下牙雅夏,是湍,代田泥庭伝殿而涅提弟,弁便別部
6,e2,衣依愛榎,気既毛飼消,世西斉勢施背脊迫瀬,堤天帝底手代直,禰尼泥年根宿,閉倍陪拝戸経,梅米迷昧目眼海,曳延要遥叡兄江吉枝,礼列例烈連,廻恵面咲,義気宜礙削,是湍,代田泥庭伝殿而涅提弟,倍毎
7,o1,意憶於應,古姑枯故侯孤児粉,宗祖素蘇十,刀土斗度戸利速,努怒野,凡方抱朋倍保宝富百帆穂,毛畝蒙木問聞,用容欲夜,路漏,乎呼遠鳥怨越少小尾麻男緒雄,吾呉胡娯後籠児悟誤,俗,土度渡奴怒,煩菩番蕃
8,o2,意憶於應,己巨去居忌許虚興木,所則曾僧増憎衣背苑,止等登澄得騰十鳥常跡,乃能笑荷,凡方抱朋倍保宝富百帆穂,方面忘母文茂記勿物望門喪裳藻,与余四世代吉,呂侶,乎呼遠鳥怨越少小尾麻男緒雄,其期碁語御馭凝,序叙賊存茹鋤,特藤騰等耐抒杼,煩菩番蕃
