,S e n y a w a,R u m u s,K o m p o s i s i   ( w t   % ),K o m p o s i s i   ( w t   % )
0,silika,SiO2,45.4%,45.5%
1,alumina,Al2O3,14.9%,24.0%
2,kapur,CaO,11.8%,15.9%
3,besi(II) oksida,FeO,14.1%,5.9%
4,magnesia,MgO,9.2%,7.5%
5,titanium dioksida,TiO2,3.9%,0.6%
6,sodium oksida,Na2O,0.6%,0.6%
7,Total,Total,99.9%,100.0%
