,L a b i a l,D e n t a l - A l v e o l a r,A l v e o l a r - P a l a t a l,V e l a r,G l o t a l
0,p,t,,k,
1,b,d,,ɡ,
2,,,t͡ɕ,,
3,,,d͡ʑ,,
4,,s,,,h
5,m,n,,ŋ,
6,,r,,,
7,w,l,j,,
