,N a m a   p u n c a k,K e t i n g g i a n   ( m )
0,Everest,8.85
1,Dapsang,8.611
2,Kangchenjunga,8.586
3,Lhotse,8.501
4,Makalu,8.462
5,Cho Oyu,8.201
6,Dhaulagiri,8.167
7,Manaslu,8.163
8,Nanga Parbat,8.126
9,Annapurna,8.091
10,Gasherbrum I,8.068
11,Broad Peak,8.047
12,Gasherbrum II,8.035
13,Shishapangma,8.027
14,Gyachung Kang,7.922
15,Nanda Devi,7.817
16,Kabru,7.338
17,Pumori,7.161
