,C o n t o h   p e r b e d a a n   b u n y i   b e r s u a r a   d a n   n i r s u a r a,C o n t o h   p e r b e d a a n   b u n y i   b e r s u a r a   d a n   n i r s u a r a,C o n t o h   p e r b e d a a n   b u n y i   b e r s u a r a   d a n   n i r s u a r a,C o n t o h   p e r b e d a a n   b u n y i   b e r s u a r a   d a n   n i r s u a r a
0,Bibir atas dan bawah,Indonesia,Bakar,Pakar
1,Bibir dengan gigi atas,Inggris,Van,Fan
2,Gigi dengan ujung lidah,Inggris,Thy,Thigh
3,Pangkal gigi dengan ujung lidah,Indonesia,Zaman,Saman
4,Lidah dengan langit-langit lembut,Indonesia,Gas,Kas
