,A n g g o t a   t e t a p,N e g a r a   s a a t   i n i,N e g a r a   s e b e l u m n y a
0,Amerika Serikat,Amerika Serikat (Amerika) (sejak 1945),—
1,Britania Raya,Britania Raya (Persatuan Kerajaan Britania Raya dan Irlandia Utara) (sejak 1945),—
2,Prancis,Republik Prancis Kelima (Prancis) (sejak 1958),Pemerintahan Sementara Republik Prancis (1945–1946) Republik Keempat Prancis (1946–1958)
3,Rusia,Federasi Rusia (Rusia) (sejak 1991),Uni Soviet (1945–1991)
4,Tiongkok,Republik Rakyat Tiongkok (Tiongkok) (sejak 1971),Republik Tiongkok (1945–1971)
