,T i m,P a r t i s i p a s i,P a r t i s i p a s i   t e r a k h i r
0,Inggris1,Ke-5,Edisi 1992
1,Rumania,Ke-2,Edisi 1984
2,Prancis,Ke-4,Edisi 1992
3,Spanyol,Ke-5,Edisi 1988
4,Denmark,Ke-5,Edisi 1992
5,Swiss,Pertama,–
6,Turki,Pertama,–
7,Kroasia,Pertama,–
8,Italia,Ke-4,Edisi 1988
9,Republik Ceko,Pertama2,–2
10,Belanda,Ke-5,Edisi 1992
11,Portugal,Ke-2,Edisi 1984
12,Jerman,Ke-7,Edisi 1992
13,Bulgaria,Pertama,–
14,Rusia,Pertama3,–3
15,Skotlandia,Ke-2,Edisi 1992
