,F i r a u n,N a m a   H o r u s,M e m e r i n t a h   ( S M ),M a k a m,P a s a n g a n
0,Smendes (Nesbanebdjed I),Hedjkheperre-Setepenre,1077 SM - 1051 SM,tidak diketahui,Tentamun
1,Amenemnisu,Neferkare-Heqawaset,1051 SM - 1047 SM,tidak diketahui,
2,Pinedjem I (raja bersama),Kheperkare-Setepenamun,1062 SM - 1039 SM,Cache in Deir el-Bahari,Henuttawy Isetemkheb A Tentnabekhenu
3,Psusennes I (Pasebkhanut I),Akheperre-Setepenamun,1047 SM - 1001 SM,"NRT III, Tanis",Mutnedjemet Wiay
4,Amenemope,Usermaetre-Setepenamun,1001 SM - 992 SM,Tanis,
5,Osorkon the Elder,Akheperre-Setepenre,992 SM - 986 SM,tidak diketahui,
6,Siamun,Netjerkheperre-Meryamun,986 SM - 967 SM,tidak diketahui,
7,Psusennes II (Pasebkhanut I),Tyetkheperure-Setepenre,967 SM - 943 SM,tidak diketahui,
