,0,1,2,3,4,5,6,7,8,9,1 0,1 1,1 2,1 3,1 4,1 5,1 6,1 7,1 8,1 9,2 0,2 1,2 2,2 3,2 4,2 5,2 6,2 7,2 8,2 9,3 0,3 1,3 2
0,Huruf besar/kapital,A,Á,B,D,Ð,E,É,F,G,H,I,Í,J,K,L,M,N,O,Ó,P,R,S,T,U,Ú,V,X,Y,Ý,Þ,Æ,Ö
1,Huruf kecil,a,á,b,d,ð,e,é,f,g,h,i,í,j,k,l,m,n,o,ó,p,r,s,t,u,ú,v,x,y,ý,þ,æ,ö
