,N a m a,N a m a   U m u m,C a t a t a n
0,Akhtoy Wahkare,Kheti V,-
1,Akhtoy Nebkaure,Kheti VI,-
2,Akhtoy Meryibtowe,Kheti VII,-
3,Merykare,-,
