,0,1,2
0,Didahului oleh:Ayatollah Khomeini,Tokoh tahunan versi Time (Bersama Yuri Andropov)1980,Diteruskan oleh:Lech Wałęsa
1,Didahului oleh:Komputer,Tokoh tahunan versi Time1983,Diteruskan oleh:Peter Ueberroth
2,Didahului oleh:Robert Montgomery,Presiden Persatuan Aktor Film1947 – 1952,Diteruskan oleh:Walter Pidgeon
3,Didahului oleh:Howard Keel,Presiden Persatuan Aktor Film1959 – 1960,Diteruskan oleh:George Chandler
4,Didahului oleh:Pat Brown,Gubernur California1967 – 1975,Diteruskan oleh:Jerry Brown
5,Didahului oleh:Gerald Ford,"Nominator Presiden Partai Republik1980 (menang), 1984 (menang)",Diteruskan oleh:George H. W. Bush
6,Didahului oleh:Jimmy Carter,Presiden Amerika Serikat20 Januari 1981 – 20 Januari 1989,Diteruskan oleh:George H. W. Bush
7,Didahului oleh:François Mitterrand,Ketua G-81983,Diteruskan oleh:Margaret Thatcher
