,W i l a y a h,C o m a r c a   y a n g   t e r m a s u k,P e m b i c a r a   B a h a s a   G a l i s i a   ( p e r s e n ) [ a ],P e m b i c a r a   B a h a s a   S p a n y o l   ( p e r s e n ) [ b ],P e m b i c a r a   b a h a s a   G a l i s i a   ( j u m l a h ) [ c ],P e m b i c a r a   B a h a s a   S p a n y o l   ( j u m l a h ) [ d ]
0,A Barbanza-Noia,A Barbanza dan Noia,8885,1115,82.434,10.344
1,A Coruña,A Coruña dan Betanzos,3355,6645,137.812,272.922
2,A Mariña,"A Mariña Oriental, A Mariña Central dan A Mariña Occidental",7585,2415,50.42,16.053
3,Caldas-O Salnés,Caldas dan O Salnés,6340,3660,86.575,49.98
4,Lugo Pusat,"Terra Chá, Lugo, A Ulloa dan Meira",6504,3496,105.423,56.676
5,Ourense Pusat,"Valdeorras, Allariz-Maceda, Terra de Caldelas dan Terra de Trives",6945,3055,30.152,13.265
6,Costa da Morte,"Bergantiños, Terra de Soneira, Fisterra, Muros dan O Xallas",9243,757,117.63,9.627
7,Lugo Timur,"Os Ancares, A Fonsagrada dan Sarria",8850,1150,32.025,4.16
8,Ferrol-Eume-Ortegal,"Ferrolterra, O Eume dan Ortegal",3375,6625,60.202,118.162
9,Northeast Pontevedra,O Deza dan Tabeirós-Terra de Montes,8185,1815,50.72,11.249
10,O Carballiño-O Ribeiro,Carballiño dan O Ribeiro,7642,2358,30.586,9.436
11,O Morrazo,O Morrazo,4056,5944,31.554,46.233
12,Ourense,Ourense,3985,6015,52.632,79.45
13,Pontevedra,Pontevedra,3882,6118,45.865,72.292
14,Santiago,"Santiago de Compostela, A Barcala dan O Sar",5539,4461,102.26,82.374
15,A Coruña Tenggara,"Arzúa, Terra de Melide dan Ordes",934,686,59.415,4.375
16,Lugo Selatan,"Terra de Lemos, Quiroga dan Chantada",6719,3281,31.065,15.172
17,Ourense Selatan,"A Baixa Limia, A Limia, Verín dan Viana",8800,1200,64.878,8.85
18,Pontevedra Selatan,"O Baixo Miño, O Condado dan A Paradanta",5856,4144,60.392,42.737
19,Vigo,Vigo,2550,7450,99.968,292.115
