,l a b,a l v .,a l v . . 1,p a l .,v e l .,g l o t .
0,m,n,,ɲ,ŋ,
1,p b,t d,d̠,c ɟ,k ɡ,ʔ
2,ɓ,ɗ,,,,
3,w,l r,,j,,h
