,0,1,2,3,4,5,6,7,8,9,1 0
0,Logam alkali Logam alkali tanah Lan­tanida Aktinida Logam transisi Logam miskin Metaloid Nonlogam poliatomik Nonlogam diatomik Gas mulia Sifat kimiabelum diketahui,,,,,,,,,,
1,Logam alkali,Logam alkali tanah,Lan­tanida,Aktinida,Logam transisi,Logam miskin,Metaloid,Nonlogam poliatomik,Nonlogam diatomik,Gas mulia,Sifat kimiabelum diketahui
