,T a h u n,P a r t a i   P o l i t i k,P a r t a i   P o l i t i k,P a r t a i   P o l i t i k
0,2000,212.0,221.0,2
1,2002,204.0,229.0,1
2,2004,202.0,232.0,1
3,2006,233.0,202.0,-
4,2008,178.0,257.0,-
5,2010,192.0,240.0,3
6,2012,,,
