,P e r i o d e,P e m a s o k,S p o n s o r
0,1945–1975,Umbro,tidak ada
1,1975–1980,Admiral,tidak ada
2,1980–1982,Adidas,tidak ada
3,1982–1992,Adidas,Sharp Electronics
4,1992–2000,Umbro,Sharp Electronics
5,2000–2002,Umbro,Vodafone
6,2002–2006,Nike,Vodafone
7,2006–2010,Nike,AIG
8,2010–2014,Nike,Aon
9,2014–2015,Nike,Chevrolet
10,2015–2021,Adidas,Chevrolet
11,2021-sekarang,Adidas,TeamViewer
