,0,1,2
0,Henry II dari Inggris Wangsa PlantagenetLahir: 5 Maret 1133 Meninggal: 6 Juli 1189,Henry II dari Inggris Wangsa PlantagenetLahir: 5 Maret 1133 Meninggal: 6 Juli 1189,Henry II dari Inggris Wangsa PlantagenetLahir: 5 Maret 1133 Meninggal: 6 Juli 1189
1,Gelar,Gelar,Gelar
2,Didahului oleh:Stephen,Raja Inggris1154–1189bersama dengan Henry dari Inggris 1170–1183,Diteruskan oleh:Richard I
3,Didahului oleh:Geoffroy Plantagenêt,Adipati NormandiaComte Anjou dan Maine1151–1189bersama dengan Henry dari Inggris1170–1183,Diteruskan oleh:Richard I
4,Didahului oleh:Aliénorsebagai sole ruler,Adipati Aquitaine1152–1189bersama dengan Aliénor,Diteruskan oleh:Aliénor andRichard I
5,Didahului oleh:Aliénorsebagai sole ruler,Comte Poitiers1152–1153bersama dengan Aliénor,Diteruskan oleh:Guillaume IX dari Poitiers
