,0,1,2
0,Didahului oleh:Sir Walter Parratt,Master of the King's Musick1924–1934,Diteruskan oleh:Sir Henry Walford Davies
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,Ciptaan baru,Baronet(dari Broadheath)1931–1934,Dihapus
