,N a m a,M a s a   j a b a t a n
0,Robert Lonati,1975–1985
1,Willibald Pahr,1986–1989
2,Antonio Enriquez Savignac,1990–1996
3,Francesco Frangialli,1997–2009
4,Taleb Rifai,2010–2017
5,Zurab Pololikashvili[6],2018–
