,P e r i n g k a t,N e g a r a,J u m l a h,P e r s e n t a s e
0,1.0,Korea Selatan,2044300,24.4%
1,2.0,Taiwan,1466700,17.5%
2,3.0,Tiongkok,1430000,17.1%
3,4.0,Amerika Serikat,717300,8.6%
4,5.0,Hong Kong,481800,5.8%
5,6.0,Thailand,260800,3.1%
6,7.0,Australia,206600,2.5%
7,8.0,Britania Raya,174200,2.1%
8,9.0,Singapura,142200,1.7%
9,10.0,Kanada,135600,1.6%
10,,Lainnya,1308600,15.6%
11,,Total,8368100,100%
