,T a h u n,B a b a k,G P,W,D *,L,G S,G A
0,2002,Babak grup,3.0,0.0,2.0,1.0,6.0,7.0
1,2003,Babak grup,3.0,1.0,0.0,2.0,3.0,5.0
2,2004,Babak khusus,3.0,1.0,1.0,1.0,5.0,3.0
3,2005,Runner-up,5.0,2.0,2.0,1.0,9.0,8.0
4,2006,Babak khusus,3.0,1.0,0.0,2.0,3.0,4.0
5,2007,Babak khusus,3.0,1.0,0.0,2.0,3.0,4.0
6,2008,Babak grup,3.0,1.0,1.0,1.0,3.0,2.0
7,2009,Runner-up,5.0,2.0,2.0,1.0,13.0,7.0
8,2010,Semi-final,4.0,1.0,1.0,2.0,5.0,7.0
9,2011,Babak khusus,3.0,2.0,1.0,0.0,4.0,3.0
10,2012,Semi-final,4.0,2.0,1.0,1.0,6.0,5.0
11,2013,,,,,,,
12,Total,7/11,39.0,14.0,12.0,13.0,60.0,55.0
