,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r I,H u r u f   k e c i l i
0,Unicode,Unicode,U+0049,U+0069
1,ASCII,Desimal,73,105
2,ASCII,Biner,01001001,01101001
3,EBCDIC,EBCDIC,201,137
