,N a m a   s u p e r b e n u a,"U m u r   ( M t :   m i l i a r   t a h u n   y a n g   l a l u ,   J t :   j u t a   t a h u n   y a n g   l a l u )"
0,Kraton Yilgarn,~4.4-3.6 Mt
1,Ur (Vaalbara),~3.6-2.8 Mt
2,Kenorland,~2.7-2.1 Mt
3,Arktika,~2.565 Mt
4,Atlantika,~2-1.1 Mt
5,Protopangea- Paleopangea,~2.7-0.6 Mt
6,Nena (Superbenua),~1.9 Mt
7,Columbia (Nuna),~1.8-1.5 Mt
8,Rodinia,~1.25-0.75 Mt
9,Pannotia,~600 Jt
10,Pangaea,~300 Jt
11,Benua di masa depan (Jt: Juta tahun mendatang),Benua di masa depan (Jt: Juta tahun mendatang)
12,Afro-Eurasia,~24 Jt
13,Afro-Euraustralasia,~59 Jt
14,Amasia,~100 Jt
15,kembali menjadi Afro-Euraustralasia,~122 Jt
16,Terra Orientalis,~170 Jt
17,Pangaea Proxima,~220 Jt
18,Pangaea Proxima pecah kembali.,~500 Jt
