,B a h a s a   I n d o n e s i a,T a u s u g   ( l a t i n ),T a u s u g   ( A r a b )
0,Siapa namamu?,Unu in ngān mu?,اُنُ ئِـڠ ڠَـانـمُ؟
1,Namaku Muhammad,In ngān ku Muhammad,ئِـڠ ڠَـانـكُ مُـحَـمَّـد
2,Apa kabar?,Maunu-unu nakaw?,مَـؤُنُ اُنُ نَـكَـو؟
3,Saya baik,Marayaw da isab,مَـرَيَـو دَ ئِـسَـب
4,Dimana Ahmad?,Hawnu hi Ahmad?,هَـونُ هِ أحـمَـد؟
5,Dia ada di rumah,Ha bāy siya,هَ بَـاي سِـيَ
6,Terima kasih,Magsukul,مَـگـسُـكُـل
